Question,Answer,Keywords,Cluster,subtopic,topic ,Macro-topic
What performance metrics were used to assess the accuracy of the models?,"The performance metrics used to assess the accuracy of the models included RMSE, MAE, MADE, and BE.","assess, accuracy, performance, metrics, models, MAE, RMSE, included, ",23,performance metrics,Energy Risk indicators ,Solar energy
What performance indicators were computed to identify the predictions of the real-time data parameters of the solar power plant?,"The performance indicators computed to identify the predictions of the real-time data parameters of the solar power plant were RMSE, MAE, MADE, and BE.","identify, predictions, real-time, data, parameters, solar, power, performance, indicators, computed, ",23,real-time data,Energy Risk indicators ,Solar energy
What techniques were used to develop models for prediction or forecasting of SEV's in the first stage?,"The techniques used to develop models for prediction or forecasting of SEV's in the first stage were ANN, RNN, and CNN-LSTM.","SEV, develop, models, prediction, forecasting, RNN, stage, techniques, CNN-LSTM, ",13,develop models,Solar forecasting accuracy,Solar energy
What software and tools were used to create the three neural networks for the purpose of prediction?,Python software and tools were used to create the three neural networks for the purpose of prediction.,"prediction, tools, create, neural, networks, purpose, software, Python, ",17,neural networks,Solar energy dynamics ,Solar energy
What are the comparisons of the last 7 years' variable performance used in this work?,"In this work, mainly ANN, RNN, and CNN-LSTM models are developed and trained for prediction or forecasting the efficiency results of three variables for the next 20 years and a comparison of the last 7 yearsâ„¢ variable performance.","work, performance, years', variable, RNN, comparisons, CNN-LSTM, models, developed, trained, ",13,variable performance,Solar forecasting accuracy,Solar energy
What is the maximum power generation predicted by Model 1?,"The maximum power generation predicted by Model 1 is 167,000 MWh.","Model, maximum, power, generation, predicted, MWh, ",13,maximum power,Solar forecasting accuracy,Solar energy
What is the range of the loss function predicted by Model 1?,The range of the loss function predicted by Model 1 is 0 to 500 epochs.,"Model, range, loss, function, predicted, epochs, ",25,loss function,Solar performance assessment,Solar energy
What does the y-axis represent in Figure 13?,The y-axis represents the error loss performance metrics for training and validation ranging from 0.1 to 0.5.,"Figure, y-axis, represent, error, loss, performance, metrics, training, validation, ",25,Figure,Solar performance assessment,Solar energy
What is the accuracy of the ANN forecast model for the PR?,The accuracy of the ANN forecast model for the PR is 75%.,"ANN, accuracy, forecast, model, ",13,ANN forecast,Solar forecasting accuracy,Solar energy
What is the x-axis range and y-axis range reflected in Fig. 13?,"The x-axis range is 0 to 500 and the y-axis range is the training and validation performance metrics error loss, which range from 1.0 to 0.0.","Fig., range, x-axis, reflected, loss, training, validation, performance, metrics, error, ",25,x-axis range,Solar performance assessment,Solar energy
What is the maximum and minimum value of the loss function analysis?,The maximum value of the loss function analysis is 1.0 % and the minimum value is 0.1 %.,"loss, function, maximum, analysis, ",13,loss function,Solar forecasting accuracy,Solar energy
What is the graph in Fig. 13 about?,"The graph in Fig. 13 is about the training and validation loss on a function over a period of time, from 2,015-2,040.","Fig., graph, time, training, validation, loss, function, period, ",25,Fig.,Solar performance assessment,Solar energy
"What is the maximum power generation predicted to be between 2,015 and 2,040?","The maximum power generation is predicted to be 167,000 MWh.","maximum, power, generation, predicted, MWh, ",13,maximum power,Solar forecasting accuracy,Solar energy
What is the range of the error loss performance metrics for training and validation?,The error loss performance metrics for training and validation range from 1.1 to 0.5.,"error, loss, performance, metrics, training, validation, range, ",25,error loss,Solar performance assessment,Solar energy
What results did the RNN forecast model give for the power generation?,The RNN forecast model gave inaccurate results for the power generation.,"RNN, generation, forecast, power, model, results, give, inaccurate, ",13,RNN forecast,Solar forecasting accuracy,Solar energy
What is the accuracy of the RNN model for the PR?,The RNN model for the PR is 60% accurate.,"RNN, model, accuracy, ",13,RNN model,Solar forecasting accuracy,Solar energy
What range of epochs is displayed on the x-axis in Fig. 13?,The x-axis in Fig. 13 displays the epochs which range from 0 to 500.,"Fig., x-axis, range, epochs, displayed, ",25,Fig.,Solar performance assessment,Solar energy
What is the prediction accuracy of the RNN model for the solving loss?,The prediction accuracy of the RNN model for the solving loss is 50%.,"RNN, prediction, accuracy, model, solving, loss, ",13,RNN model,Solar forecasting accuracy,Solar energy
What is the maximum power generation predicted in the first graph of the CNN-LSTM Model-3?,"The maximum power generation predicted in the first graph of the CNN-LSTM Model-3 is 172,000 MWh.","CNN-LSTM, maximum, power, generation, predicted, graph, MWh, ",13,maximum power,Solar forecasting accuracy,Solar energy
What are the x and y axes of Fig 15?,"The x-axis of Fig 15 displays the number of epochs from 0 to 350 and the y-axis displays the training and validation performance metrics for error loss, which ranges from 0.0 to 1.0.","Fig, axes, displays, loss, x-axis, number, epochs, training, validation, performance, ",25,Fig,Solar performance assessment,Solar energy
What is the accuracy of the CNN-LSTM hybrid model prediction for PR?,The CNN-LSTM hybrid model prediction for PR is 80% accurate based on the comparison graph.,"CNN-LSTM, hybrid, model, prediction, accuracy, graph, based, comparison, ",13,CNN-LSTM hybrid,Solar forecasting accuracy,Solar energy
What is the range of the error loss in the graph shown in Fig. 15?,The error loss ranges from 0.0 to 1.0.,"Fig., error, loss, graph, shown, range, ",25,error loss,Solar performance assessment,Solar energy
What primary reason does the CNN-LSTM predicted values differ significantly from the actual values?,"The primary reason why the CNN-LSTM predicted values differ significantly from the actual values is because it forecasts power generation and PR values more accurately, with less error and function loss.","CNN-LSTM, predicted, differ, significantly, actual, primary, reason, accurately, loss, forecasts, ",18,CNN-LSTM predicted,Renewable energy Integration,Solar energy
What are the four different performance error evaluations used in Table 3?,"The four different performance error evaluations used in Table 3 are RMSE, MAE, MADE and BE.","Table, MAE, performance, error, evaluations, RMSE, ",13,performance error,Solar forecasting accuracy,Solar energy
What is the accuracy ratio of the optimal model for power generation and PR based on the study of performance error metrics?,"The accuracy ratio of the optimal model for power generation and PR based on the study of performance error metrics is 98.88,823%.","accuracy, ratio, optimal, model, power, generation, based, study, performance, error, ",13,accuracy ratio,Solar forecasting accuracy,Solar energy
What is the PR and Soiling Loss value of CNN-LSTM?,"The PR value of CNN-LSTM is 0.9,511 and the Soiling Loss value is 0.385.","Loss, Soiling, CNN-LSTM, ",13,Soiling Loss,Solar forecasting accuracy,Solar energy
What is the PR and Soiling Loss value of ANN?,"The PR value of ANN is 0.9,519 and the Soiling Loss value is 0.237.","Loss, Soiling, ANN, ",13,Soiling Loss,Solar forecasting accuracy,Solar energy
What is the PR and Soiling Loss value of RNN?,"The PR value of RNN is 0.9,519 and the Soiling Loss value is 0.6,151.","Loss, Soiling, RNN, ",13,Soiling Loss,Solar forecasting accuracy,Solar energy
What are the MAE and MADE prediction error values?,"The MAE prediction error values were 261.1,558 0.26,474 and 0.3,823 for power generation, PR, and soiling loss respectively. The MADE prediction value for power generation, PR and soiling loss was 0.162 0.351 and respectively.","MAE, prediction, error, generation, power, soiling, loss, ",13,MADE prediction,Solar forecasting accuracy,Solar energy
What kind of graph was used to plot each variable?,The Fig. 17 shows the stack graphs that were used to plot each variable in a different layer.,"plot, variable, Fig., kind, shows, layer, graph, stack, ",25,plot,Solar performance assessment,Solar energy
What is the accuracy rate of the RNN model?,The accuracy rate of the RNN model is 0.0%.,"RNN, accuracy, rate, model, ",13,RNN model,Solar forecasting accuracy,Solar energy
What is displayed on the plot of each variable?,The plot of each variable displays the gap analysis between the error metrics.,"plot, variable, displayed, metrics, gap, analysis, error, ",16,plot,Solar Energy Optimization,Solar energy
What type of graphical visualizations were obtained for each model?,"The performance metric values were obtained in terms of graphical visualization, such as parallel plot graphs, separately for each model.","model, graphical, obtained, type, visualizations, separately, performance, metric, terms, parallel, ",13,model,Solar forecasting accuracy,Solar energy
What is the accuracy of the CNN-LSTM model?,The CNN-LSTM model has a 75% accuracy in its findings of values near to the actual values.,"CNN-LSTM, model, accuracy, findings, actual, ",13,CNN-LSTM model,Solar forecasting accuracy,Solar energy
What is the purpose of stack graphs?,Stack graphs are used to plot each variable in a different layer to examine the gap between true and actual values of the prediction case.,"stack, graphs, purpose, case, plot, variable, layer, examine, gap, true, ",16,stack graphs,Solar Energy Optimization,Solar energy
How can larger and more diverse datasets be used to improve solar forecast models?,"A larger and more diverse dataset can improve solar forecast models by collecting data from a wider range of geographies and solar plants, including different types of weather conditions, and incorporating additional variables such as energy storage and grid demand.","solar, diverse, forecast, larger, improve, models, datasets, plants, including, conditions, ",12,forecast models,Solar forecasting solutions ,Solar energy
What are some steps that can be taken to improve data quality and availability for successful solar energy forecasting?,"Steps that can be taken to improve data quality and availability for successful solar energy forecasting include efforts to improve data availability, integrity and accuracy, as well as collaborating with industry partners and academic researchers to provide valuable insights and expertise.","improve, data, availability, quality, successful, solar, energy, steps, forecasting, integrity, ",12,improve data,Solar forecasting solutions ,Solar energy
What is the major barrier in the solar energy sector?,The unpredictability of solar energyâ„¢s output is a significant barrier in the solar energy sector.,"energy, solar, sector, barrier, major, unpredictability, output, significant, ",10,solar energy,Renewable energy transition ,Solar energy
What type of data was used for the prediction analysis in this research study?,"Real-time series data of 100MW-QASP solar plant such as Power generation, PR and soiling loss was used for the prediction analysis in this research study.","study, prediction, analysis, research, data, type, Power, Real-time, solar, generation, ",13,research study,Solar forecasting accuracy,Solar energy
What is the accuracy of prediction of SEV's using CNN-LSTM model?,"The experimental findings revealed that CNN-LSTM can deliver accurate predictions with minimal error, making it a reliable model for forecasting SEV's in line with time-series forecasting.","SEV, CNN-LSTM, model, accuracy, forecasting, error, making, prediction, experimental, findings, ",13,SEV,Solar forecasting accuracy,Solar energy
How does CNN-LSTM model help in analysing and forecasting time-series data for Lisps?,"CNN-LSTM model not only offers fresh research ideas for SEV's prediction, but it also provides researchers into solar energy with real-world expertise in analysing and forecasting time-series data for Lisps.","Lisps, analysing, forecasting, time-series, data, CNN-LSTM, model, SEV, prediction, offers, ",13,forecasting time-series,Solar forecasting accuracy,Solar energy
"What is the project number of King Said University, Riyadh, Saudi Arabia?","The project number of King Said University, Riyadh, Saudi Arabia is RSP2,023R258.","Riyadh, University, Saudi, King, Arabia, project, number, ",15,Saudi Arabia,Solar systems economics ,Solar energy
What is the graph between Target Variables and Performance Metrics Error in Fig. 21?,The graph in Fig 21 separates the layer stack between Target Variables and Performance Metrics Error.,"Fig., Target, Variables, Performance, Metrics, Error, graph, separates, layer, stack, ",25,Target Variables,Solar performance assessment,Solar energy
What methodology is presented in the article by Perez-Higueras et al.?,The article by Perez-Higueras et al. presents a methodology based on dynamic artificial neural networks for short-term forecasting of the power output of a PV generator.,"article, Perez-Higueras, methodology, presented, generator, based, dynamic, artificial, neural, networks, ",17,article,Solar energy dynamics ,Solar energy
What is the purpose of the article by Van et al.?,"The article by Van et al. presents an artificial neural network to assess the impact of neighbouring photovoltaic systems in power forecasting in Utrecht, The Netherlands.","Van, article, purpose, Utrecht, Netherlands, presents, artificial, neural, network, assess, ",17,Van,Solar energy dynamics ,Solar energy
What is the principle behind the Hybrid Feature Selection-based Machine Learning Classification System for predicting injury severity?,The Hybrid Feature Selection-based Machine Learning Classification System uses a combination of feature selection and machine learning methods to identify the most relevant predictors of injury severity in single and multiple-vehicle accidents.,"Machine, Learning, Feature, Hybrid, Selection-based, Classification, System, injury, severity, principle, ",22,Machine Learning,Photovoltaic Forecasting Techniques,Solar energy
"What is the focus of the paper M. Abdel-Nasser, K. Mahmoud (2,019)?",The paper focuses on accurate photovoltaic power forecasting models using deep LSTM-RNN.,"paper, Mahmoud, focus, Abdel-Nasser, LSTM-RNN, accurate, photovoltaic, forecasting, models, deep, ",22,paper,Photovoltaic Forecasting Techniques,Solar energy
What is the research objective of the paper?,The research objective of this paper is to propose accurate deep learning models for photovoltaic power forecasting.,"research, objective, paper, forecasting, propose, accurate, deep, learning, models, photovoltaic, ",22,research objective,Photovoltaic Forecasting Techniques,Solar energy
What is the purpose of the Lieberman net al. paper?,The paper by Lieberman net al. aims to evaluate the performance of neural network-based short-term solar irradiation forecasts.,"Lieberman, net, paper, purpose, forecasts, aims, evaluate, performance, neural, network-based, ",19,Lieberman net,Solar innovation solutions ,Solar energy
What kind of results did Lieberman net al. obtain?,The results of the paper showed that neural network-based forecasts accurately predicted the solar irradiation with high accuracy.,"Lieberman, obtain, results, kind, net, accuracy, paper, showed, neural, network-based, ",19,Lieberman net,Solar innovation solutions ,Solar energy
What optimization techniques are used in the Optimization and Prediction of pulsating heat pipe compound parabolic solar collector performances?,The Optimization and Prediction of pulsating heat pipe compound parabolic solar collector performances is conducted using a hybrid deep belief network based bald eagle search optimizer.,"Prediction, optimization, pulsating, heat, pipe, compound, parabolic, solar, collector, performances, ",7,pulsating heat,Solar Energy Innovations,Solar energy
What control strategy is proposed under the combined wind-solar storage system?,A control strategy based on deep reinforcement learning is proposed for the combined wind-solar storage system.,"system, combined, wind-solar, storage, control, strategy, proposed, based, deep, reinforcement, ",2,storage system,Renewable Solutions Integration,Solar energy
"What is the main topic of the conference on Swarm, Evolutionary, and Memetic Computing held in 2,013?","The main topic of the conference on Swarm, Evolutionary, and Memetic Computing held in 2,013 was RNN based solar radiation forecasting using adaptive learning rate.","Evolutionary, Swarm, Memetic, Computing, main, topic, conference, held, RNN, rate, ",13,Memetic Computing,Solar forecasting accuracy,Solar energy
What kind of performance analysis has been done to evaluate energy production of large-scale solar plants?,Performance analysis of energy production of large-scale solar plants has been done using an artificial intelligence (machine learning) technique.,"production, large-scale, solar, performance, analysis, energy, plants, kind, evaluate, technique, ",21,large-scale solar,Renewable energy integration,Solar energy
"What is Photoenergy 2,018 (2,018) 14?","Photoenergy 2,018 (2,018) 14 is an article published in 2,018 that provides information on the analysis of sentiments about pandemics and how they can be used by businesses to make decisions.","Photoenergy, decisions, article, published, information, analysis, sentiments, pandemics, businesses, make, ",8,Photoenergy,Solar panel perception,Solar energy
What is the purpose of the article?,The article focuses on providing a machine-learning scraping tool for data fusion in the analysis of sentiments about pandemics to support business decisions with human-centric AI explanations.,"article, purpose, explanations, focuses, providing, machine-learning, scraping, tool, data, fusion, ",16,article focuses,Solar Energy Optimization,Solar energy
What is the investigation in the article by M.A. Bashir et al.?,The investigation of the article by M.A. Bashir et al. is the performance of photovoltaic modules by back surface water cooling.,"Bashir, article, investigation, cooling, performance, photovoltaic, modules, back, surface, water, ",21,Bashir,Renewable energy integration,Solar energy
What was the focus of the research presented in the paper?,The research in the paper focused on using clouds and IoT-based technologies to enhance the quality of life in smart cities.,"research, paper, focus, presented, cities, clouds, IoT-based, technologies, enhance, quality, ",20,research presented,Energy assessments,Solar energy
What models of artificial neural networks were used for thermal performance of unidirectional flow porous bed solar air heater?,"The models of artificial neural networks used for thermal performance of unidirectional flow porous bed solar air heater were Multilayer Perceptron (MLP), Generalized Regression Neural Network (GRNN) and Radial Basis Function (RBF).","neural, artificial, thermal, performance, unidirectional, flow, porous, bed, solar, air, ",6,artificial neural,Thermal efficiency,Solar energy
What is the goal of China regarding carbon emissions?,"China has set a goal to cap its carbon emissions and increase low-carbon energy sources to 20% by 2,030 or earlier.","China, carbon, emissions, goal, earlier, set, cap, increase, energy, sources, ",2,carbon emissions,Renewable Solutions Integration,Solar energy
What challenge do the large variability of wind and solar energy bring?,"The large variability of wind and solar energy can cause imbalance between generation and supply, leading to potential power shortages and higher electricity costs.","large, variability, wind, solar, bring, energy, challenge, supply, leading, costs, ",2,large variability,Renewable Solutions Integration,Solar energy
What is the main purpose of decarbonizing electrical power?,"Decarbonizing electrical power is a key requirement for reducing carbon dioxide emissions, mitigating climate change, and achieving sustainable developments.","electrical, decarbonizing, power, main, purpose, emissions, mitigating, change, developments, key, ",2,decarbonizing electrical,Renewable Solutions Integration,Solar energy
"How much renewable energy is projected to be installed in China by 2,050?","It is projected that ~2.4 billion kW of wind power and 2.7 billion kW of solar power will be installed by 2,050 with a total annual output of 9.66 trillion kWh.","China, billion, projected, installed, renewable, energy, power, kWh, wind, solar, ",21,renewable energy,Renewable energy integration,Solar energy
"What was the spatial resolution for the MEARA dataset in China from 1,979-2,015?","The spatial resolution of the MEARA dataset for China from 1,979-2,015 was approximately 56 to 61 kilometres.","MEARA, China, spatial, resolution, dataset, kilometres, approximately, ",27,MEARA dataset,Solar urban sustainability ,Solar energy
Was the data from CMA WRF simulation validated against wind masts?,"Yes, the data from CMA WRF simulation was validated against wind masts.","CMA, WRF, masts, data, wind, simulation, validated, ",3,CMA WRF,Sustainability analysis ,Solar energy
What types of datasets have been used to assess wind energy resources within China?,Wind energy assessments primarily use reanalysis data sets (such as MERRA-2 and ERA-Interim) and meteorological station observations.,"China, wind, energy, types, datasets, assess, resources, sets, ERA-Interim, observations, ",21,China,Renewable energy integration,Solar energy
What types of data sets are used to assess solar energy resources in China?,"Solar energy assessments typically rely on solar radiation observations from meteorological stations, however a limited number of radiation stations are operational in China.","China, solar, energy, types, data, sets, assess, resources, radiation, stations, ",21,data sets,Renewable energy integration,Solar energy
What is the average curtailment rate for wind and solar energy in China?,The average curtailment rate for wind and solar energy in China has averaged over about 10% during the past decade.,"China, average, curtailment, rate, wind, solar, energy, decade, past, ",21,average curtailment,Renewable energy integration,Solar energy
What is the economic and environmental cost of renewable electricity generation abandonment in China?,"The economic and environmental cost of renewable electricity generation abandonment in China is equivalent to 48 million t of coal consumption or 134 million t of CO2 emissions, representing ~1.5% of Chinaâ„¢s total emissions in 2,016.","China, economic, environmental, cost, renewable, electricity, generation, abandonment, million, representing, ",2,environmental cost,Renewable Solutions Integration,Solar energy
What pattern has been documented for solar in the US and Japan?,A similar pattern of reduced variability of hourly wind power as the aggregated areas grow has been documented for solar in the US and Japan.,"Japan, documented, solar, pattern, reduced, variability, hourly, wind, power, aggregated, ",21,Japan,Renewable energy integration,Solar energy
What three shortcomings have studies of Chinese wind/solar energy suffered from?,"Studies of Chinese wind/solar energy have suffered from shortcomings such as not assessing the variability of single wind/solar and hybrid wind-solar energy throughout China at the grid cell scale, not considering the wind/solar ratio's effect on hybrid winds solar energy stability, and not investigating the effects of spatial aggregation on hybrid wind-solar energy stability.","Chinese, energy, solar, wind, studies, suffered, hybrid, stability, shortcomings, wind-solar, ",21,Chinese wind,Renewable energy integration,Solar energy
What data did the researchers use to assess wind energy?,"The researchers used wind profile data obtained from the CAAâ„¢s National Climate Center (NCC), which contained data from Begun meteorological satellites, ~2,400 ground stations, and 169 sounding stations and was produced using the Weather Research and Forecasting Model.","data, energy, researchers, NCC, wind, assess, CAA, Center, Model, stations, ",23,wind energy,Energy Risk indicators ,Solar energy
What type of data was used to calculate theoretical wind power?,"Hourly wind speed, air density, and specific wind turbine power curves were used to calculate the theoretical wind power.","wind, power, calculate, theoretical, type, data, Hourly, speed, air, density, ",21,theoretical wind,Renewable energy integration,Solar energy
What range of efficiency coefficient is usually considered when computing the actual wind power?,"The efficiency coefficient usually ranges between 20 and 30%, with an average value of 25%.","power, efficiency, considered, computing, actual, wind, range, average, ",4,wind power,Solar energy efficiency ,Solar energy
What information was obtained from China Meteorological Administration's National Climate Center?,The hourly wind speed was obtained from China Meteorological Administration's National Climate Center.,"Center, China, Meteorological, Administration, National, Climate, obtained, information, hourly, wind, ",21,Climate Center,Renewable energy integration,Solar energy
What is IN?,"Is the system efficiency coefficient, and its value is 0.8 [46].","coefficient, system, ",4,efficiency coefficient,Solar energy efficiency ,Solar energy
How is Instabenergy measured?,"Instabenergy is a standardized measure of the dispersion of energy production across time, and it is assessed by the coefficient of variation (CV) which is calculated by dividing the sum of the differences between the energy generated at each time step and the average energy generated in a year to the average energy generated in a year.","energy, Instabenergy, generated, measured, average, year, time, variation, standardized, dispersion, ",25,Instabenergy measured,Solar performance assessment,Solar energy
How is the Instabhybrid calculated?,The Instabhybrid is calculated by using the formula CV X N with I representing the grid cell in a given grid cell window (N N) and m and n being the weights of the wind and solar CF.,"Instabhybrid, calculated, grid, cell, window, formula, representing, weights, solar, ",22,Instabhybrid calculated,Photovoltaic Forecasting Techniques,Solar energy
What are the grid cell windows that were used in calculating the Instabhybrid?,The grid cell windows that were used in calculating the Instabhybrid are 1 1 3 3 9 9 25 25 and 51 51.,"Instabhybrid, grid, cell, windows, calculating, ",22,grid cell,Photovoltaic Forecasting Techniques,Solar energy
What was the average value of Instabsolar across most regions?,The average value was 1.44.,"Instabsolar, average, regions, ",11,Instabsolar,Renewable energy insights,Solar energy
What is the linear relationship between Instabsolar and CF solar?,"There is a negative linear relationship between Instabsolar and CF solar with equation ""Y A -1.9X A 1.76 R2 A 0.79"".","Instabsolar, relationship, linear, solar, equation, negative, ",12,linear relationship,Solar forecasting solutions ,Solar energy
How did this study differ from previous research on wind-solar complementarity in China?,"This study offered a more comprehensive and detailed assessment of these factors on a grid cell scale throughout the country, whereas previous analyses were mostly performed on the provincial or site scale.","China, study, previous, differ, research, wind-solar, complementarity, scale, country, offered, ",3,wind-solar complementarity,Sustainability analysis ,Solar energy
How does the variability of wind energy compared to solar energy?,"The variability of wind energy decreases exponentially with CF wind, while the variability of solar energy decreases linearly with CF solar.","variability, energy, wind, solar, compared, decreases, exponentially, linearly, ",21,wind energy,Renewable energy integration,Solar energy
What is the optimal wind/solar ratio for improving the stability of hybrid wind-solar energy in China?,The optimal wind/solar ratio is highly dependent on location and can greatly improve the stability of hybrid wind-solar energy in China.,"China, wind, solar, optimal, stability, hybrid, wind-solar, energy, ratio, improving, ",21,optimal wind,Renewable energy integration,Solar energy
What is the importance of determining an optimal wind/solar ratio?,Determining an optimal wind/solar ratio is important for practical applications because it can minimize the variability of energy production and lower external system costs such as energy storage and grid integration.,"wind, solar, optimal, determining, ratio, importance, energy, integration, practical, applications, ",21,optimal wind,Renewable energy integration,Solar energy
What is the variability of wind and solar resources in China?,The variability of wind and solar resources in China is much higher at the provincial scale.,"China, variability, wind, solar, resources, scale, higher, provincial, ",21,solar resources,Renewable energy integration,Solar energy
What are some approaches to help reduce the variability of renewable energy production?,"Some approaches to help reduce the variability of renewable energy production include regional cooperation, high-voltage transmission, energy storage, demand management, and flexible generation.","energy, approaches, reduce, variability, renewable, production, cooperation, high-voltage, transmission, storage, ",2,renewable energy,Renewable Solutions Integration,Solar energy
What is the effect of wind/solar energy capacity factor on single wind/solar energy stability?,The stability of single wind/solar energy production increases as the wind/solar energy capacity factor increases.,"solar, wind, energy, capacity, factor, single, stability, effect, increases, production, ",21,solar energy,Renewable energy integration,Solar energy
What regions of China have highly stable wind energy?,"Highly stable wind energy is predominantly concentrated in eastern Inner Mongolia, northeastern China, and northern China.","China, stable, wind, highly, energy, Mongolia, regions, northeastern, predominantly, concentrated, ",2,stable wind,Renewable Solutions Integration,Solar energy
What areas in China should be prioritized during the government planning for the deployment of large-scale wind/solar farms?,"Eastern Inner Mongolia, northeastern China, and northern China should be prioritized during Chinese government planning for the deployment of large-scale wind/solar farms.","China, wind, solar, farms, prioritized, planning, deployment, large-scale, government, Mongolia, ",2,solar farms,Renewable Solutions Integration,Solar energy
How can regional cooperation help reduce the variability of wind-solar energy production?,"Regional cooperation, such as breaking interprovincial power grid barriers, can reduce the variability of wind-solar energy production, improve the system's ability to absorb wind/solar volatility, and reduce operational costs.","production, variability, wind-solar, energy, reduce, regional, cooperation, barriers, improve, wind, ",2,energy production,Renewable Solutions Integration,Solar energy
Who supported the work of this research?,"The work was supported by National Natural Science Foundation, Shenzhen Science, Technology Innovation Committee Basic Research Funding Project, and REIGN Science and Technology Project.","Project, Science, research, Technology, work, supported, Foundation, Shenzhen, National, Innovation, ",19,Funding Project,Solar innovation solutions ,Solar energy
Who was funded by the China Scholar Council Fellowship?,Labial Liu was funded by the China Scholar Council Fellowship.,"Fellowship, China, Scholar, Council, funded, Liu, Labial, ",19,Council Fellowship,Solar innovation solutions ,Solar energy
What is the main purpose of the references included in this paragraph?,The references in this paragraph are used to provide support for the authors' lack of conflicts of interest.,"references, paragraph, main, purpose, included, interest, provide, support, authors', lack, ",5,main purpose,Solar energy impact,Solar energy
What type of resources are cited in the references?,"The references cited in this paragraph include reports from the UNF CCC, a Nature Energy article, a Renewable and Sustainable Energy Reviews article, a Tech report from the Commission Rhonda, and two articles from Energy and Renewable and Sustainable Energy Reviews respectively.","Energy, Sustainable, Renewable, Reviews, cited, references, type, resources, CCC, Rhonda, ",27,Sustainable Energy,Solar urban sustainability ,Solar energy
How do wind and solar energy contribute to China's power sector?,"Wind and solar energy are both key contributors to China's power sector, with implications for intermittency constraints.","China, sector, solar, power, wind, energy, contribute, key, implications, intermittency, ",2,China power,Renewable Solutions Integration,Solar energy
What are the short-term integration costs of variable renewable energy?,Short-term integration costs of variable renewable energy include wind curtailment and balancing in Britain and Germany.,"integration, costs, variable, renewable, short-term, energy, Germany, Britain, include, wind, ",2,integration costs,Renewable Solutions Integration,Solar energy
What is the purpose of complementarity in power supply reliability?,"The purpose of complementarity in power supply reliability is to ensure that different energy sources, such as solar and wind, are used together to create a reliable and sustainable power supply.","supply, power, purpose, complementarity, reliability, sources, wind, ensure, energy, solar, ",2,power supply,Renewable Solutions Integration,Solar energy
"What is the focus of Xu LB, Wang PW, and Liu OF's paper?","Xu LB, Wang PW, and Liu OF's paper focused on the spatial and temporal variation features of wind-sun complementarity in China.","Wang, Liu, paper, focus, China, spatial, temporal, variation, features, wind-sun, ",27,Wang,Solar urban sustainability ,Solar energy
"What did Zhang HE, Can YE, Zhang Y, and Terminal V analyse in their paper?","Zhang HE, Can YE, Zhang Y, and Terminal V analysed the quantitative synergy assessment of regional wind-solar energy resources based on TERRA reanalysis data in their paper.","Zhang, Terminal, paper, analyse, TERRA, quantitative, synergy, assessment, regional, wind-solar, ",3,Zhang,Sustainability analysis ,Solar energy
What is CWE?,"CWE stands for the China Wind Energy Association, a non-profit organization dedicated to promoting the development of the wind power industry in China.","CWE, China, Wind, Association, Energy, stands, non-profit, organization, dedicated, promoting, ",19,Energy Association,Solar innovation solutions ,Solar energy
"What were China's wind power hoisting capacities in 2,018 and 2,019?","China's wind power hoisting capacities in 2,018 and 2,019 were reported to be relatively high, indicating significant growth in the area of renewable energy.","China, wind, power, hoisting, capacities, high, indicating, energy, reported, significant, ",2,China wind,Renewable Solutions Integration,Solar energy
What type of energy systems are used in industrial supply chains?,Solar Thermal Energy and similar energy systems are used in industrial supply chains.,"chains, energy, systems, industrial, supply, type, Thermal, Solar, ",15,supply chains,Solar systems economics ,Solar energy
How can practitioners assess STE supply chains?,Practitioners can assess STE supply chains by collecting quantitative data on employee salary and social risk using the current assessment framework.,"STE, supply, assess, chains, practitioners, framework, collecting, quantitative, data, employee, ",5,STE supply,Solar energy impact,Solar energy
What are the three fundamental constituents of sustainability according to the Brundtland report?,"The three fundamental constituents of sustainability according to the Brundtland report are environmental, economic, and social sustainability.","Brundtland, sustainability, fundamental, constituents, report, economic, environmental, social, ",27,Brundtland report,Solar urban sustainability ,Solar energy
What type of novel energy-generating technologies have been developed to reduce greenhouse gas emissions?,Novel energy-generating technologies that have been developed to reduce greenhouse gas emissions include Solar Thermal Energy (STE) systems.,"STE, energy-generating, developed, reduce, greenhouse, gas, technologies, emissions, Energy, systems, ",2,reduce greenhouse,Renewable Solutions Integration,Solar energy
What novel and emerging technologies have begun to gain interest?,SHIP systems and technologies have begun to gain interest in the rapid expansion and integration into the EU energy sector.,"begun, gain, technologies, interest, SHIP, emerging, sector, systems, rapid, expansion, ",5,gain interest,Solar energy impact,Solar energy
What research has been conducted to assess social acceptance of SHIP technologies?,"Research such as that conducted by Qantas & Soares and Course have been conducted to assess the social acceptance of SHIP technologies, focusing on the consideration of social issues affecting stakeholders of solar energy and public interest in integration.","SHIP, technologies, conducted, acceptance, social, assess, research, Qantas, Soares, focusing, ",5,SHIP technologies,Solar energy impact,Solar energy
What did HAI [5] expand on concerning emerging solar technologies?,HAI [5] expanded on the weak market penetration of emerging solar technologies due to the uncertainty faced by policymakers regarding the unknown social consequences that may emerge as a result of STE integration.,"HAI, solar, expand, emerging, technologies, STE, integration, weak, market, due, ",5,emerging solar,Solar energy impact,Solar energy
